,Unnamed: 0,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
4331,8357,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Fear/016.jpeg,016.jpeg,oulucasia-P006-Fear-016.jpg,P006,Fear,jpeg,cauca,4.0,-0.64,0.6,Fear,,,,,,,jpg,test
4332,8358,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Fear/007.jpeg,007.jpeg,oulucasia-P006-Fear-007.jpg,P006,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,test
4333,8359,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Fear/012.jpeg,012.jpeg,oulucasia-P006-Fear-012.jpg,P006,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,test
4334,8360,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Fear/015.jpeg,015.jpeg,oulucasia-P006-Fear-015.jpg,P006,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,test
4335,8361,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Fear/014.jpeg,014.jpeg,oulucasia-P006-Fear-014.jpg,P006,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,test
4336,8362,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Happiness/015.jpeg,015.jpeg,oulucasia-P006-Happiness-015.jpg,P006,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,test
4337,8363,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Happiness/018.jpeg,018.jpeg,oulucasia-P006-Happiness-018.jpg,P006,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,test
4338,8364,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Happiness/012.jpeg,012.jpeg,oulucasia-P006-Happiness-012.jpg,P006,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,test
4339,8365,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Happiness/016.jpeg,016.jpeg,oulucasia-P006-Happiness-016.jpg,P006,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,test
4340,8366,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Happiness/017.jpeg,017.jpeg,oulucasia-P006-Happiness-017.jpg,P006,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,test
4341,8367,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Sadness/006.jpeg,006.jpeg,oulucasia-P006-Sadness-006.jpg,P006,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
4342,8368,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Sadness/012.jpeg,012.jpeg,oulucasia-P006-Sadness-012.jpg,P006,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
4343,8369,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Sadness/014.jpeg,014.jpeg,oulucasia-P006-Sadness-014.jpg,P006,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
4344,8370,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Sadness/011.jpeg,011.jpeg,oulucasia-P006-Sadness-011.jpg,P006,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
4345,8371,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Sadness/015.jpeg,015.jpeg,oulucasia-P006-Sadness-015.jpg,P006,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
4346,8372,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Surprise/012.jpeg,012.jpeg,oulucasia-P006-Surprise-012.jpg,P006,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,test
4347,8373,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Surprise/004.jpeg,004.jpeg,oulucasia-P006-Surprise-004.jpg,P006,Surprise,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
4348,8374,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Surprise/007.jpeg,007.jpeg,oulucasia-P006-Surprise-007.jpg,P006,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,test
4349,8375,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Surprise/008.jpeg,008.jpeg,oulucasia-P006-Surprise-008.jpg,P006,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,test
4350,8376,oulucasia,nir,data/B_OriginalImg/NI/Strong/P006/Surprise/015.jpeg,015.jpeg,oulucasia-P006-Surprise-015.jpg,P006,Surprise,jpeg,cauca,3.0,0.4,0.67,Surprise,,,,,,,jpg,test
4351,8377,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Anger/003.jpeg,003.jpeg,oulucasia-P007-Anger-003.jpg,P007,Anger,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4352,8378,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Anger/006.jpeg,006.jpeg,oulucasia-P007-Anger-006.jpg,P007,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4353,8379,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Anger/009.jpeg,009.jpeg,oulucasia-P007-Anger-009.jpg,P007,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4354,8380,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Anger/010.jpeg,010.jpeg,oulucasia-P007-Anger-010.jpg,P007,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4355,8381,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Anger/007.jpeg,007.jpeg,oulucasia-P007-Anger-007.jpg,P007,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4356,8382,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Disgust/004.jpeg,004.jpeg,oulucasia-P007-Disgust-004.jpg,P007,Disgust,jpeg,mongo,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
4357,8383,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Disgust/005.jpeg,005.jpeg,oulucasia-P007-Disgust-005.jpg,P007,Disgust,jpeg,mongo,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
4358,8384,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Disgust/000.jpeg,000.jpeg,oulucasia-P007-Disgust-000.jpg,P007,Disgust,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4359,8385,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Disgust/007.jpeg,007.jpeg,oulucasia-P007-Disgust-007.jpg,P007,Disgust,jpeg,mongo,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
4360,8386,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Disgust/002.jpeg,002.jpeg,oulucasia-P007-Disgust-002.jpg,P007,Disgust,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4361,8387,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Fear/012.jpeg,012.jpeg,oulucasia-P007-Fear-012.jpg,P007,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4362,8388,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Fear/011.jpeg,011.jpeg,oulucasia-P007-Fear-011.jpg,P007,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4363,8389,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Fear/016.jpeg,016.jpeg,oulucasia-P007-Fear-016.jpg,P007,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4364,8390,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Fear/024.jpeg,024.jpeg,oulucasia-P007-Fear-024.jpg,P007,Fear,jpeg,mongo,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
4365,8391,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Fear/025.jpeg,025.jpeg,oulucasia-P007-Fear-025.jpg,P007,Fear,jpeg,mongo,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
4366,8392,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Happiness/024.jpeg,024.jpeg,oulucasia-P007-Happiness-024.jpg,P007,Happiness,jpeg,mongo,1.0,0.81,0.51,Happy,,,,,,,jpg,train
4367,8393,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Happiness/003.jpeg,003.jpeg,oulucasia-P007-Happiness-003.jpg,P007,Happiness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4368,8394,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Happiness/012.jpeg,012.jpeg,oulucasia-P007-Happiness-012.jpg,P007,Happiness,jpeg,mongo,1.0,0.405,0.255,Happy,,,,,,,jpg,train
4369,8395,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Happiness/018.jpeg,018.jpeg,oulucasia-P007-Happiness-018.jpg,P007,Happiness,jpeg,mongo,1.0,0.405,0.255,Happy,,,,,,,jpg,train
4370,8396,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Happiness/001.jpeg,001.jpeg,oulucasia-P007-Happiness-001.jpg,P007,Happiness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4371,8397,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Sadness/001.jpeg,001.jpeg,oulucasia-P007-Sadness-001.jpg,P007,Sadness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4372,8398,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Sadness/014.jpeg,014.jpeg,oulucasia-P007-Sadness-014.jpg,P007,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4373,8399,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Sadness/002.jpeg,002.jpeg,oulucasia-P007-Sadness-002.jpg,P007,Sadness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4374,8400,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Sadness/017.jpeg,017.jpeg,oulucasia-P007-Sadness-017.jpg,P007,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4375,8401,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Sadness/006.jpeg,006.jpeg,oulucasia-P007-Sadness-006.jpg,P007,Sadness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4376,8402,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Surprise/004.jpeg,004.jpeg,oulucasia-P007-Surprise-004.jpg,P007,Surprise,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4377,8403,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Surprise/005.jpeg,005.jpeg,oulucasia-P007-Surprise-005.jpg,P007,Surprise,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4378,8404,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Surprise/010.jpeg,010.jpeg,oulucasia-P007-Surprise-010.jpg,P007,Surprise,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4379,8405,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Surprise/041.jpeg,041.jpeg,oulucasia-P007-Surprise-041.jpg,P007,Surprise,jpeg,mongo,3.0,0.4,0.67,Surprise,,,,,,,jpg,train
4380,8406,oulucasia,nir,data/B_OriginalImg/NI/Strong/P007/Surprise/023.jpeg,023.jpeg,oulucasia-P007-Surprise-023.jpg,P007,Surprise,jpeg,mongo,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
4381,8407,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Anger/025.jpeg,025.jpeg,oulucasia-P008-Anger-025.jpg,P008,Anger,jpeg,mongo,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
4382,8408,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Anger/014.jpeg,014.jpeg,oulucasia-P008-Anger-014.jpg,P008,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4383,8409,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Anger/016.jpeg,016.jpeg,oulucasia-P008-Anger-016.jpg,P008,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4384,8410,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Anger/027.jpeg,027.jpeg,oulucasia-P008-Anger-027.jpg,P008,Anger,jpeg,mongo,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
4385,8411,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Anger/004.jpeg,004.jpeg,oulucasia-P008-Anger-004.jpg,P008,Anger,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4386,8412,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Disgust/004.jpeg,004.jpeg,oulucasia-P008-Disgust-004.jpg,P008,Disgust,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4387,8413,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Disgust/021.jpeg,021.jpeg,oulucasia-P008-Disgust-021.jpg,P008,Disgust,jpeg,mongo,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
4388,8414,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Disgust/023.jpeg,023.jpeg,oulucasia-P008-Disgust-023.jpg,P008,Disgust,jpeg,mongo,5.0,-0.6,0.35,Disgust,,,,,,,jpg,train
4389,8415,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Disgust/014.jpeg,014.jpeg,oulucasia-P008-Disgust-014.jpg,P008,Disgust,jpeg,mongo,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
4390,8416,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Disgust/012.jpeg,012.jpeg,oulucasia-P008-Disgust-012.jpg,P008,Disgust,jpeg,mongo,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
4391,8417,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Fear/007.jpeg,007.jpeg,oulucasia-P008-Fear-007.jpg,P008,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4392,8418,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Fear/002.jpeg,002.jpeg,oulucasia-P008-Fear-002.jpg,P008,Fear,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4393,8419,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Fear/001.jpeg,001.jpeg,oulucasia-P008-Fear-001.jpg,P008,Fear,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4394,8420,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Fear/016.jpeg,016.jpeg,oulucasia-P008-Fear-016.jpg,P008,Fear,jpeg,mongo,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
4395,8421,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Fear/003.jpeg,003.jpeg,oulucasia-P008-Fear-003.jpg,P008,Fear,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4396,8422,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Happiness/011.jpeg,011.jpeg,oulucasia-P008-Happiness-011.jpg,P008,Happiness,jpeg,mongo,1.0,0.405,0.255,Happy,,,,,,,jpg,train
4397,8423,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Happiness/019.jpeg,019.jpeg,oulucasia-P008-Happiness-019.jpg,P008,Happiness,jpeg,mongo,1.0,0.81,0.51,Happy,,,,,,,jpg,train
4398,8424,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Happiness/018.jpeg,018.jpeg,oulucasia-P008-Happiness-018.jpg,P008,Happiness,jpeg,mongo,1.0,0.81,0.51,Happy,,,,,,,jpg,train
4399,8425,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Happiness/009.jpeg,009.jpeg,oulucasia-P008-Happiness-009.jpg,P008,Happiness,jpeg,mongo,1.0,0.405,0.255,Happy,,,,,,,jpg,train
4400,8426,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Happiness/000.jpeg,000.jpeg,oulucasia-P008-Happiness-000.jpg,P008,Happiness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4401,8427,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Sadness/007.jpeg,007.jpeg,oulucasia-P008-Sadness-007.jpg,P008,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4402,8428,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Sadness/019.jpeg,019.jpeg,oulucasia-P008-Sadness-019.jpg,P008,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4403,8429,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Sadness/018.jpeg,018.jpeg,oulucasia-P008-Sadness-018.jpg,P008,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4404,8430,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Sadness/023.jpeg,023.jpeg,oulucasia-P008-Sadness-023.jpg,P008,Sadness,jpeg,mongo,2.0,-0.63,-0.27,Sad,,,,,,,jpg,train
4405,8431,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Sadness/004.jpeg,004.jpeg,oulucasia-P008-Sadness-004.jpg,P008,Sadness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4406,8432,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Surprise/030.jpeg,030.jpeg,oulucasia-P008-Surprise-030.jpg,P008,Surprise,jpeg,mongo,3.0,0.4,0.67,Surprise,,,,,,,jpg,train
4407,8433,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Surprise/006.jpeg,006.jpeg,oulucasia-P008-Surprise-006.jpg,P008,Surprise,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4408,8434,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Surprise/020.jpeg,020.jpeg,oulucasia-P008-Surprise-020.jpg,P008,Surprise,jpeg,mongo,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
4409,8435,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Surprise/009.jpeg,009.jpeg,oulucasia-P008-Surprise-009.jpg,P008,Surprise,jpeg,mongo,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
4410,8436,oulucasia,nir,data/B_OriginalImg/NI/Strong/P008/Surprise/017.jpeg,017.jpeg,oulucasia-P008-Surprise-017.jpg,P008,Surprise,jpeg,mongo,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
4411,8437,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Anger/011.jpeg,011.jpeg,oulucasia-P009-Anger-011.jpg,P009,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4412,8438,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Anger/009.jpeg,009.jpeg,oulucasia-P009-Anger-009.jpg,P009,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4413,8439,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Anger/000.jpeg,000.jpeg,oulucasia-P009-Anger-000.jpg,P009,Anger,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4414,8440,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Anger/018.jpeg,018.jpeg,oulucasia-P009-Anger-018.jpg,P009,Anger,jpeg,mongo,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
4415,8441,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Anger/008.jpeg,008.jpeg,oulucasia-P009-Anger-008.jpg,P009,Anger,jpeg,mongo,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4416,8442,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Disgust/021.jpeg,021.jpeg,oulucasia-P009-Disgust-021.jpg,P009,Disgust,jpeg,mongo,5.0,-0.6,0.35,Disgust,,,,,,,jpg,train
4417,8443,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Disgust/022.jpeg,022.jpeg,oulucasia-P009-Disgust-022.jpg,P009,Disgust,jpeg,mongo,5.0,-0.6,0.35,Disgust,,,,,,,jpg,train
4418,8444,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Disgust/000.jpeg,000.jpeg,oulucasia-P009-Disgust-000.jpg,P009,Disgust,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4419,8445,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Disgust/002.jpeg,002.jpeg,oulucasia-P009-Disgust-002.jpg,P009,Disgust,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4420,8446,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Disgust/007.jpeg,007.jpeg,oulucasia-P009-Disgust-007.jpg,P009,Disgust,jpeg,mongo,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
4421,8447,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Fear/006.jpeg,006.jpeg,oulucasia-P009-Fear-006.jpg,P009,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4422,8448,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Fear/011.jpeg,011.jpeg,oulucasia-P009-Fear-011.jpg,P009,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4423,8449,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Fear/014.jpeg,014.jpeg,oulucasia-P009-Fear-014.jpg,P009,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4424,8450,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Fear/012.jpeg,012.jpeg,oulucasia-P009-Fear-012.jpg,P009,Fear,jpeg,mongo,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
4425,8451,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Fear/000.jpeg,000.jpeg,oulucasia-P009-Fear-000.jpg,P009,Fear,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4426,8452,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Happiness/003.jpeg,003.jpeg,oulucasia-P009-Happiness-003.jpg,P009,Happiness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4427,8453,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Happiness/008.jpeg,008.jpeg,oulucasia-P009-Happiness-008.jpg,P009,Happiness,jpeg,mongo,1.0,0.405,0.255,Happy,,,,,,,jpg,train
4428,8454,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Happiness/011.jpeg,011.jpeg,oulucasia-P009-Happiness-011.jpg,P009,Happiness,jpeg,mongo,1.0,0.405,0.255,Happy,,,,,,,jpg,train
4429,8455,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Happiness/001.jpeg,001.jpeg,oulucasia-P009-Happiness-001.jpg,P009,Happiness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4430,8456,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Happiness/007.jpeg,007.jpeg,oulucasia-P009-Happiness-007.jpg,P009,Happiness,jpeg,mongo,1.0,0.405,0.255,Happy,,,,,,,jpg,train
4431,8457,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Sadness/006.jpeg,006.jpeg,oulucasia-P009-Sadness-006.jpg,P009,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4432,8458,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Sadness/008.jpeg,008.jpeg,oulucasia-P009-Sadness-008.jpg,P009,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4433,8459,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Sadness/009.jpeg,009.jpeg,oulucasia-P009-Sadness-009.jpg,P009,Sadness,jpeg,mongo,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
4434,8460,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Sadness/003.jpeg,003.jpeg,oulucasia-P009-Sadness-003.jpg,P009,Sadness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4435,8461,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Sadness/000.jpeg,000.jpeg,oulucasia-P009-Sadness-000.jpg,P009,Sadness,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4436,8462,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Surprise/020.jpeg,020.jpeg,oulucasia-P009-Surprise-020.jpg,P009,Surprise,jpeg,mongo,3.0,0.4,0.67,Surprise,,,,,,,jpg,train
4437,8463,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Surprise/017.jpeg,017.jpeg,oulucasia-P009-Surprise-017.jpg,P009,Surprise,jpeg,mongo,3.0,0.4,0.67,Surprise,,,,,,,jpg,train
4438,8464,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Surprise/011.jpeg,011.jpeg,oulucasia-P009-Surprise-011.jpg,P009,Surprise,jpeg,mongo,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
4439,8465,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Surprise/004.jpeg,004.jpeg,oulucasia-P009-Surprise-004.jpg,P009,Surprise,jpeg,mongo,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
4440,8466,oulucasia,nir,data/B_OriginalImg/NI/Strong/P009/Surprise/009.jpeg,009.jpeg,oulucasia-P009-Surprise-009.jpg,P009,Surprise,jpeg,mongo,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
4441,8467,oulucasia,nir,data/B_OriginalImg/NI/Strong/P010/Anger/023.jpeg,023.jpeg,oulucasia-P010-Anger-023.jpg,P010,Anger,jpeg,cauca,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
4442,8468,oulucasia,nir,data/B_OriginalImg/NI/Strong/P010/Anger/016.jpeg,016.jpeg,oulucasia-P010-Anger-016.jpg,P010,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4443,8469,oulucasia,nir,data/B_OriginalImg/NI/Strong/P010/Anger/012.jpeg,012.jpeg,oulucasia-P010-Anger-012.jpg,P010,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4444,8470,oulucasia,nir,data/B_OriginalImg/NI/Strong/P010/Anger/017.jpeg,017.jpeg,oulucasia-P010-Anger-017.jpg,P010,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
4445,8471,oulucasia,nir,data/B_OriginalImg/NI/Strong/P010/Anger/020.jpeg,020.jpeg,oulucasia-P010-Anger-020.jpg,P010,Anger,jpeg,cauca,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
