,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype
6643,affectnet,vis,data/AffectNet-8Labels/train_set/images/30109.jpg,30109.jpg,affectnet-30109.jpg,,,jpg,cauca,1.0,0.572823,0.283921,Happy,,,,,,,jpg
6644,affectnet,vis,data/AffectNet-8Labels/train_set/images/388009.jpg,388009.jpg,affectnet-388009.jpg,,,jpg,cauca,1.0,0.817847,-0.130662,Happy,,,,,,,jpg
6645,affectnet,vis,data/AffectNet-8Labels/train_set/images/263358.jpg,263358.jpg,affectnet-263358.jpg,,,jpg,cauca,0.0,0.00483933,-0.00483933,Neutral,,,,,,,jpg
6646,affectnet,vis,data/AffectNet-8Labels/train_set/images/278793.jpg,278793.jpg,affectnet-278793.jpg,,,jpg,cauca,1.0,0.690476,-0.333333,Happy,,,,,,,jpg
6648,affectnet,vis,data/AffectNet-8Labels/train_set/images/363006.jpg,363006.jpg,affectnet-363006.jpg,,,jpg,cauca,1.0,0.890437,0.0919473,Happy,,,,,,,jpg
6650,affectnet,vis,data/AffectNet-8Labels/train_set/images/388873.jpg,388873.jpg,affectnet-388873.jpg,,,png,cauca,4.0,-0.0776398,0.91011,Fear,,,,,,,jpg
6651,affectnet,vis,data/AffectNet-8Labels/train_set/images/299565.jpg,299565.jpg,affectnet-299565.jpg,,,jpg,cauca,0.0,0.0,-0.00793651,Neutral,,,,,,,jpg
6652,affectnet,vis,data/AffectNet-8Labels/train_set/images/287443.jpg,287443.jpg,affectnet-287443.jpg,,,jpg,cauca,2.0,-0.439871,-0.145278,Sad,,,,,,,jpg
6653,affectnet,vis,data/AffectNet-8Labels/train_set/images/356297.jpg,356297.jpg,affectnet-356297.jpg,,,png,cauca,1.0,0.493612,0.108885,Happy,,,,,,,jpg
6654,affectnet,vis,data/AffectNet-8Labels/train_set/images/390863.jpg,390863.jpg,affectnet-390863.jpg,,,jpg,cauca,1.0,0.842044,-0.0774293,Happy,,,,,,,jpg
6655,affectnet,vis,data/AffectNet-8Labels/train_set/images/390402.jpg,390402.jpg,affectnet-390402.jpg,,,jpg,cauca,6.0,-0.547619,0.396825,Anger,,,,,,,jpg
6657,affectnet,vis,data/AffectNet-8Labels/train_set/images/322592.jpg,322592.jpg,affectnet-322592.jpg,,,jpg,cauca,6.0,-0.705858,0.405605,Anger,,,,,,,jpg
6658,affectnet,vis,data/AffectNet-8Labels/train_set/images/388581.jpg,388581.jpg,affectnet-388581.jpg,,,jpg,cauca,1.0,0.836784,0.11646,Happy,,,,,,,jpg
6659,affectnet,vis,data/AffectNet-8Labels/train_set/images/70262.jpg,70262.jpg,affectnet-70262.jpg,,,png,cauca,0.0,0.0158729999999999,0.00793651,Neutral,,,,,,,jpg
6660,affectnet,vis,data/AffectNet-8Labels/train_set/images/181112.jpg,181112.jpg,affectnet-181112.jpg,,,jpg,cauca,1.0,0.97619,0.1428569999999999,Happy,,,,,,,jpg
6661,affectnet,vis,data/AffectNet-8Labels/train_set/images/136234.jpg,136234.jpg,affectnet-136234.jpg,,,jpg,cauca,1.0,0.5516840000000001,-0.058072,Happy,,,,,,,jpg
6662,affectnet,vis,data/AffectNet-8Labels/train_set/images/89389.jpg,89389.jpg,affectnet-89389.jpg,,,jpg,cauca,0.0,-0.418084,0.205499,Neutral,,,,,,,jpg
6663,affectnet,vis,data/AffectNet-8Labels/train_set/images/127961.jpg,127961.jpg,affectnet-127961.jpg,,,jpg,cauca,1.0,0.571429,0.0,Happy,,,,,,,jpg
6664,affectnet,vis,data/AffectNet-8Labels/train_set/images/78460.jpg,78460.jpg,affectnet-78460.jpg,,,jpg,cauca,1.0,0.728951,0.0992063,Happy,,,,,,,jpg
6665,affectnet,vis,data/AffectNet-8Labels/train_set/images/388491.jpg,388491.jpg,affectnet-388491.jpg,,,jpg,cauca,2.0,-0.435645,-0.1294,Sad,,,,,,,jpg
6666,affectnet,vis,data/AffectNet-8Labels/train_set/images/348474.jpg,348474.jpg,affectnet-348474.jpg,,,jpg,cauca,1.0,0.489886,0.0948166999999999,Happy,,,,,,,jpg
6667,affectnet,vis,data/AffectNet-8Labels/train_set/images/91058.jpg,91058.jpg,affectnet-91058.jpg,,,jpg,cauca,1.0,0.555556,0.0,Happy,,,,,,,jpg
6669,affectnet,vis,data/AffectNet-8Labels/train_set/images/307928.jpg,307928.jpg,affectnet-307928.jpg,,,jpg,cauca,1.0,0.8399469999999999,0.119048,Happy,,,,,,,jpg
6670,affectnet,vis,data/AffectNet-8Labels/train_set/images/160817.jpg,160817.jpg,affectnet-160817.jpg,,,jpg,cauca,5.0,-0.154859,0.445219,Disgust,,,,,,,jpg
6672,affectnet,vis,data/AffectNet-8Labels/train_set/images/396663.jpg,396663.jpg,affectnet-396663.jpg,,,jpg,cauca,0.0,0.0,-0.00793651,Neutral,,,,,,,jpg
6673,affectnet,vis,data/AffectNet-8Labels/train_set/images/22606.jpg,22606.jpg,affectnet-22606.jpg,,,jpg,cauca,0.0,-0.13169,-0.400337,Neutral,,,,,,,jpg
6674,affectnet,vis,data/AffectNet-8Labels/train_set/images/86136.jpg,86136.jpg,affectnet-86136.jpg,,,jpg,cauca,2.0,-0.8412700000000001,-0.3412699999999999,Sad,,,,,,,jpg
6675,affectnet,vis,data/AffectNet-8Labels/train_set/images/394675.jpg,394675.jpg,affectnet-394675.jpg,,,jpg,cauca,1.0,0.537295,0.105352,Happy,,,,,,,jpg
6676,affectnet,vis,data/AffectNet-8Labels/train_set/images/391412.jpg,391412.jpg,affectnet-391412.jpg,,,jpg,cauca,0.0,0.0317459999999999,-0.00793651,Neutral,,,,,,,jpg
6677,affectnet,vis,data/AffectNet-8Labels/train_set/images/241752.jpg,241752.jpg,affectnet-241752.jpg,,,jpg,cauca,0.0,0.00661376,-0.00661376,Neutral,,,,,,,jpg
6678,affectnet,vis,data/AffectNet-8Labels/train_set/images/252944.jpg,252944.jpg,affectnet-252944.jpg,,,jpg,cauca,4.0,-0.0677507,0.677507,Fear,,,,,,,jpg
6679,affectnet,vis,data/AffectNet-8Labels/train_set/images/170112.jpg,170112.jpg,affectnet-170112.jpg,,,jpg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg
6680,affectnet,vis,data/AffectNet-8Labels/train_set/images/44700.jpg,44700.jpg,affectnet-44700.jpg,,,jpg,cauca,0.0,-0.00376733,0.00376733,Neutral,,,,,,,jpg
6681,affectnet,vis,data/AffectNet-8Labels/train_set/images/270922.jpg,270922.jpg,affectnet-270922.jpg,,,jpg,cauca,0.0,-0.00661376,-0.00661376,Neutral,,,,,,,jpg
6682,affectnet,vis,data/AffectNet-8Labels/train_set/images/223400.jpg,223400.jpg,affectnet-223400.jpg,,,jpg,cauca,0.0,0.0158729999999999,0.0,Neutral,,,,,,,jpg
6683,affectnet,vis,data/AffectNet-8Labels/train_set/images/382466.jpg,382466.jpg,affectnet-382466.jpg,,,jpg,cauca,2.0,-0.8293200000000001,-0.300963,Sad,,,,,,,jpg
6684,affectnet,vis,data/AffectNet-8Labels/train_set/images/137048.jpg,137048.jpg,affectnet-137048.jpg,,,jpg,cauca,3.0,0.3910639999999999,0.8620690000000001,Surprise,,,,,,,jpg
6685,affectnet,vis,data/AffectNet-8Labels/train_set/images/296375.jpg,296375.jpg,affectnet-296375.jpg,,,jpg,cauca,6.0,-0.329075,0.6000770000000001,Anger,,,,,,,jpg
6686,affectnet,vis,data/AffectNet-8Labels/train_set/images/75010.jpg,75010.jpg,affectnet-75010.jpg,,,jpg,cauca,0.0,-0.389802,0.184366,Neutral,,,,,,,jpg
6687,affectnet,vis,data/AffectNet-8Labels/train_set/images/294936.jpg,294936.jpg,affectnet-294936.jpg,,,jpg,cauca,0.0,0.0158729999999999,-0.0158729999999999,Neutral,,,,,,,jpg
6688,affectnet,vis,data/AffectNet-8Labels/train_set/images/322241.jpg,322241.jpg,affectnet-322241.jpg,,,jpg,cauca,1.0,0.815217,0.107833,Happy,,,,,,,jpg
6689,affectnet,vis,data/AffectNet-8Labels/train_set/images/2095.jpg,2095.jpg,affectnet-2095.jpg,,,jpg,cauca,1.0,0.952381,0.214286,Happy,,,,,,,jpg
6690,affectnet,vis,data/AffectNet-8Labels/train_set/images/20507.jpg,20507.jpg,affectnet-20507.jpg,,,jpg,cauca,0.0,-0.426645,-0.2133219999999999,Neutral,,,,,,,jpg
6691,affectnet,vis,data/AffectNet-8Labels/train_set/images/130872.jpg,130872.jpg,affectnet-130872.jpg,,,jpg,cauca,1.0,0.936508,0.166667,Happy,,,,,,,jpg
6692,affectnet,vis,data/AffectNet-8Labels/train_set/images/48326.jpg,48326.jpg,affectnet-48326.jpg,,,jpg,cauca,2.0,-0.5,0.0,Sad,,,,,,,jpg
6693,affectnet,vis,data/AffectNet-8Labels/train_set/images/296597.jpg,296597.jpg,affectnet-296597.jpg,,,jpeg,cauca,3.0,0.2274489999999999,0.517809,Surprise,,,,,,,jpg
6694,affectnet,vis,data/AffectNet-8Labels/train_set/images/194181.jpg,194181.jpg,affectnet-194181.jpg,,,jpg,cauca,0.0,0.164537,0.00483933,Neutral,,,,,,,jpg
6695,affectnet,vis,data/AffectNet-8Labels/train_set/images/2955.jpg,2955.jpg,affectnet-2955.jpg,,,jpg,cauca,1.0,0.58072,-0.0822687,Happy,,,,,,,jpg
6696,affectnet,vis,data/AffectNet-8Labels/train_set/images/265945.jpg,265945.jpg,affectnet-265945.jpg,,,jpg,cauca,1.0,0.818857,0.18797,Happy,,,,,,,jpg
6699,affectnet,vis,data/AffectNet-8Labels/train_set/images/293286.jpg,293286.jpg,affectnet-293286.jpg,,,jpg,cauca,0.0,0.2063489999999999,0.0,Neutral,,,,,,,jpg
6700,affectnet,vis,data/AffectNet-8Labels/train_set/images/350264.jpg,350264.jpg,affectnet-350264.jpg,,,jpg,cauca,1.0,0.5404140000000001,0.0313283,Happy,,,,,,,jpg
6701,affectnet,vis,data/AffectNet-8Labels/train_set/images/133974.jpg,133974.jpg,affectnet-133974.jpg,,,jpg,cauca,1.0,0.633953,0.319396,Happy,,,,,,,jpg
6702,affectnet,vis,data/AffectNet-8Labels/train_set/images/187068.jpg,187068.jpg,affectnet-187068.jpg,,,jpeg,cauca,0.0,-0.047619,-0.0317459999999999,Neutral,,,,,,,jpg
6703,affectnet,vis,data/AffectNet-8Labels/train_set/images/346512.jpg,346512.jpg,affectnet-346512.jpg,,,jpg,cauca,1.0,0.5158729999999999,0.0,Happy,,,,,,,jpg
6704,affectnet,vis,data/AffectNet-8Labels/train_set/images/283887.jpg,283887.jpg,affectnet-283887.jpg,,,jpg,cauca,3.0,-0.158028,0.626844,Surprise,,,,,,,jpg
6705,affectnet,vis,data/AffectNet-8Labels/train_set/images/291687.jpg,291687.jpg,affectnet-291687.jpg,,,jpg,cauca,1.0,0.7460319999999999,-0.103175,Happy,,,,,,,jpg
6706,affectnet,vis,data/AffectNet-8Labels/train_set/images/385360.jpg,385360.jpg,affectnet-385360.jpg,,,jpg,cauca,1.0,0.83831,0.233502,Happy,,,,,,,jpg
6707,affectnet,vis,data/AffectNet-8Labels/train_set/images/358848.jpg,358848.jpg,affectnet-358848.jpg,,,jpg,cauca,1.0,0.4161829999999999,-0.421022,Happy,,,,,,,jpg
6708,affectnet,vis,data/AffectNet-8Labels/train_set/images/372251.jpg,372251.jpg,affectnet-372251.jpg,,,jpg,cauca,1.0,0.833333,0.1269839999999999,Happy,,,,,,,jpg
6709,affectnet,vis,data/AffectNet-8Labels/train_set/images/327424.jpg,327424.jpg,affectnet-327424.jpg,,,jpg,cauca,0.0,-0.00793651,0.0,Neutral,,,,,,,jpg
6710,affectnet,vis,data/AffectNet-8Labels/train_set/images/21970.jpg,21970.jpg,affectnet-21970.jpg,,,jpg,cauca,1.0,0.582785,0.32377,Happy,,,,,,,jpg
6712,affectnet,vis,data/AffectNet-8Labels/train_set/images/116971.jpg,116971.jpg,affectnet-116971.jpg,,,jpg,cauca,1.0,0.500421,0.110619,Happy,,,,,,,jpg
6713,affectnet,vis,data/AffectNet-8Labels/train_set/images/50203.jpg,50203.jpg,affectnet-50203.jpg,,,jpg,cauca,5.0,-0.795091,0.481808,Disgust,,,,,,,jpg
6714,affectnet,vis,data/AffectNet-8Labels/train_set/images/376061.jpg,376061.jpg,affectnet-376061.jpg,,,jpg,cauca,1.0,0.774293,0.425861,Happy,,,,,,,jpg
6715,affectnet,vis,data/AffectNet-8Labels/train_set/images/383469.jpg,383469.jpg,affectnet-383469.jpg,,,jpg,cauca,0.0,0.0104428,0.0,Neutral,,,,,,,jpg
6716,affectnet,vis,data/AffectNet-8Labels/train_set/images/317034.jpg,317034.jpg,affectnet-317034.jpg,,,jpg,cauca,0.0,-0.43721,0.147493,Neutral,,,,,,,jpg
6717,affectnet,vis,data/AffectNet-8Labels/train_set/images/404774.jpg,404774.jpg,affectnet-404774.jpg,,,jpg,cauca,2.0,-0.7579239999999999,-0.267953,Sad,,,,,,,jpg
6718,affectnet,vis,data/AffectNet-8Labels/train_set/images/184126.jpg,184126.jpg,affectnet-184126.jpg,,,jpg,cauca,2.0,-0.134921,-0.579365,Sad,,,,,,,jpg
6719,affectnet,vis,data/AffectNet-8Labels/train_set/images/25205.jpg,25205.jpg,affectnet-25205.jpg,,,jpg,cauca,0.0,-0.426675,0.13169,Neutral,,,,,,,jpg
6720,affectnet,vis,data/AffectNet-8Labels/train_set/images/220403.jpg,220403.jpg,affectnet-220403.jpg,,,jpg,cauca,7.0,-0.633953,0.648471,Contempt,,,,,,,jpg
6721,affectnet,vis,data/AffectNet-8Labels/train_set/images/43281.jpg,43281.jpg,affectnet-43281.jpg,,,jpg,cauca,1.0,0.526759,0.0790138999999999,Happy,,,,,,,jpg
6722,affectnet,vis,data/AffectNet-8Labels/train_set/images/256549.jpg,256549.jpg,affectnet-256549.jpg,,,jpg,cauca,2.0,-0.953349,-0.0532327,Sad,,,,,,,jpg
6723,affectnet,vis,data/AffectNet-8Labels/train_set/images/216504.jpg,216504.jpg,affectnet-216504.jpg,,,jpg,cauca,0.0,0.0388199,-0.0172533,Neutral,,,,,,,jpg
6725,affectnet,vis,data/AffectNet-8Labels/train_set/images/144282.jpg,144282.jpg,affectnet-144282.jpg,,,jpg,cauca,2.0,-0.8253969999999999,-0.3412699999999999,Sad,,,,,,,jpg
6726,affectnet,vis,data/AffectNet-8Labels/train_set/images/346585.jpg,346585.jpg,affectnet-346585.jpg,,,jpg,cauca,0.0,-0.396825,0.233844,Neutral,,,,,,,jpg
6728,affectnet,vis,data/AffectNet-8Labels/train_set/images/165072.jpg,165072.jpg,affectnet-165072.jpg,,,jpg,cauca,1.0,0.50234,0.178915,Happy,,,,,,,jpg
6729,affectnet,vis,data/AffectNet-8Labels/train_set/images/98416.jpg,98416.jpg,affectnet-98416.jpg,,,jpg,cauca,1.0,0.6825399999999999,-0.531746,Happy,,,,,,,jpg
6730,affectnet,vis,data/AffectNet-8Labels/train_set/images/405398.jpg,405398.jpg,affectnet-405398.jpg,,,jpg,cauca,1.0,0.522648,0.0677507,Happy,,,,,,,jpg
6731,affectnet,vis,data/AffectNet-8Labels/train_set/images/354706.jpg,354706.jpg,affectnet-354706.jpg,,,jpg,cauca,2.0,-0.0952381,-0.539683,Sad,,,,,,,jpg
6732,affectnet,vis,data/AffectNet-8Labels/train_set/images/75028.jpg,75028.jpg,affectnet-75028.jpg,,,jpg,cauca,1.0,0.773809,0.0925926,Happy,,,,,,,jpg
6733,affectnet,vis,data/AffectNet-8Labels/train_set/images/46693.jpg,46693.jpg,affectnet-46693.jpg,,,jpg,cauca,1.0,0.93254,0.138889,Happy,,,,,,,jpg
6734,affectnet,vis,data/AffectNet-8Labels/train_set/images/35940.jpg,35940.jpg,affectnet-35940.jpg,,,jpg,cauca,3.0,0.372629,0.837205,Surprise,,,,,,,jpg
6735,affectnet,vis,data/AffectNet-8Labels/train_set/images/352132.jpg,352132.jpg,affectnet-352132.jpg,,,jpg,cauca,0.0,-0.309717,-0.208091,Neutral,,,,,,,jpg
6736,affectnet,vis,data/AffectNet-8Labels/train_set/images/13393.jpg,13393.jpg,affectnet-13393.jpg,,,jpg,cauca,5.0,-0.792931,0.388903,Disgust,,,,,,,jpg
6737,affectnet,vis,data/AffectNet-8Labels/train_set/images/386340.jpg,386340.jpg,affectnet-386340.jpg,,,jpg,cauca,1.0,0.873016,-0.0793651,Happy,,,,,,,jpg
6738,affectnet,vis,data/AffectNet-8Labels/train_set/images/370302.jpg,370302.jpg,affectnet-370302.jpg,,,jpg,cauca,1.0,0.8691530000000001,-0.121155,Happy,,,,,,,jpg
6740,affectnet,vis,data/AffectNet-8Labels/train_set/images/170304.jpg,170304.jpg,affectnet-170304.jpg,,,jpg,cauca,1.0,0.6009800000000001,0.0229674,Happy,,,,,,,jpg
6741,affectnet,vis,data/AffectNet-8Labels/train_set/images/341793.jpg,341793.jpg,affectnet-341793.jpg,,,jpg,cauca,0.0,0.174216,0.0193572999999999,Neutral,,,,,,,jpg
6742,affectnet,vis,data/AffectNet-8Labels/train_set/images/79179.jpg,79179.jpg,affectnet-79179.jpg,,,png,cauca,5.0,-0.737463,0.474083,Disgust,,,,,,,jpg
6743,affectnet,vis,data/AffectNet-8Labels/train_set/images/194869.jpg,194869.jpg,affectnet-194869.jpg,,,jpg,cauca,2.0,-0.150794,-0.3412699999999999,Sad,,,,,,,jpg
6744,affectnet,vis,data/AffectNet-8Labels/train_set/images/96901.jpg,96901.jpg,affectnet-96901.jpg,,,jpg,cauca,0.0,-0.410998,0.162982,Neutral,,,,,,,jpg
6745,affectnet,vis,data/AffectNet-8Labels/train_set/images/173999.jpg,173999.jpg,affectnet-173999.jpg,,,jpg,cauca,1.0,0.904956,-0.125823,Happy,,,,,,,jpg
6746,affectnet,vis,data/AffectNet-8Labels/train_set/images/134533.jpg,134533.jpg,affectnet-134533.jpg,,,jpg,cauca,1.0,0.7460319999999999,-0.0952381,Happy,,,,,,,jpg
6747,affectnet,vis,data/AffectNet-8Labels/train_set/images/143428.jpg,143428.jpg,affectnet-143428.jpg,,,png,cauca,1.0,0.714286,0.2539679999999999,Happy,,,,,,,jpg
6749,affectnet,vis,data/AffectNet-8Labels/train_set/images/216643.jpg,216643.jpg,affectnet-216643.jpg,,,jpg,cauca,1.0,0.842044,0.256485,Happy,,,,,,,jpg
6750,affectnet,vis,data/AffectNet-8Labels/train_set/images/465.jpg,465.jpg,affectnet-465.jpg,,,jpg,cauca,0.0,-0.14234,-0.138026,Neutral,,,,,,,jpg
6751,affectnet,vis,data/AffectNet-8Labels/train_set/images/376480.jpg,376480.jpg,affectnet-376480.jpg,,,jpg,cauca,1.0,0.603175,0.00793651,Happy,,,,,,,jpg
6752,affectnet,vis,data/AffectNet-8Labels/train_set/images/230293.jpg,230293.jpg,affectnet-230293.jpg,,,jpg,cauca,1.0,0.8322799999999999,-0.126422,Happy,,,,,,,jpg
6753,affectnet,vis,data/AffectNet-8Labels/train_set/images/12185.jpg,12185.jpg,affectnet-12185.jpg,,,jpg,cauca,1.0,0.792812,0.0679553,Happy,,,,,,,jpg
6754,affectnet,vis,data/AffectNet-8Labels/train_set/images/244587.jpg,244587.jpg,affectnet-244587.jpg,,,jpg,cauca,0.0,0.123403,-0.355691,Neutral,,,,,,,jpg
6755,affectnet,vis,data/AffectNet-8Labels/train_set/images/374877.jpg,374877.jpg,affectnet-374877.jpg,,,jpg,cauca,1.0,0.505689,0.147493,Happy,,,,,,,jpg
6756,affectnet,vis,data/AffectNet-8Labels/train_set/images/236915.jpg,236915.jpg,affectnet-236915.jpg,,,jpg,cauca,0.0,0.2341099999999999,0.104603,Neutral,,,,,,,jpg
6757,affectnet,vis,data/AffectNet-8Labels/train_set/images/328218.jpg,328218.jpg,affectnet-328218.jpg,,,jpg,cauca,0.0,0.00793651,-0.00793651,Neutral,,,,,,,jpg
6759,affectnet,vis,data/AffectNet-8Labels/train_set/images/320122.jpg,320122.jpg,affectnet-320122.jpg,,,jpg,cauca,1.0,0.426675,0.0579434999999999,Happy,,,,,,,jpg
6760,affectnet,vis,data/AffectNet-8Labels/train_set/images/380138.jpg,380138.jpg,affectnet-380138.jpg,,,jpg,cauca,1.0,0.484127,0.103175,Happy,,,,,,,jpg
6761,affectnet,vis,data/AffectNet-8Labels/train_set/images/129085.jpg,129085.jpg,affectnet-129085.jpg,,,jpg,cauca,1.0,0.801953,0.388524,Happy,,,,,,,jpg
6763,affectnet,vis,data/AffectNet-8Labels/train_set/images/400029.jpg,400029.jpg,affectnet-400029.jpg,,,jpg,cauca,5.0,-0.7539680000000001,0.365079,Disgust,,,,,,,jpg
6765,affectnet,vis,data/AffectNet-8Labels/train_set/images/325223.jpg,325223.jpg,affectnet-325223.jpg,,,jpg,cauca,0.0,-0.3774679999999999,0.087108,Neutral,,,,,,,jpg
6766,affectnet,vis,data/AffectNet-8Labels/train_set/images/194673.jpg,194673.jpg,affectnet-194673.jpg,,,jpg,cauca,0.0,-0.3739989999999999,-0.226507,Neutral,,,,,,,jpg
6767,affectnet,vis,data/AffectNet-8Labels/train_set/images/286513.jpg,286513.jpg,affectnet-286513.jpg,,,jpg,cauca,1.0,0.505689,0.1158869999999999,Happy,,,,,,,jpg
6768,affectnet,vis,data/AffectNet-8Labels/train_set/images/368850.jpg,368850.jpg,affectnet-368850.jpg,,,jpg,cauca,1.0,0.523809,0.0238095,Happy,,,,,,,jpg
6769,affectnet,vis,data/AffectNet-8Labels/train_set/images/33526.jpg,33526.jpg,affectnet-33526.jpg,,,jpg,cauca,1.0,0.815217,0.0776398,Happy,,,,,,,jpg
6770,affectnet,vis,data/AffectNet-8Labels/train_set/images/69889.jpg,69889.jpg,affectnet-69889.jpg,,,jpg,cauca,4.0,-0.179055,0.769454,Fear,,,,,,,jpg
6771,affectnet,vis,data/AffectNet-8Labels/train_set/images/131560.jpg,131560.jpg,affectnet-131560.jpg,,,jpg,cauca,0.0,-0.0634921,-0.00793651,Neutral,,,,,,,jpg
6772,affectnet,vis,data/AffectNet-8Labels/train_set/images/197987.jpg,197987.jpg,affectnet-197987.jpg,,,jpg,cauca,1.0,0.626984,-0.2222219999999999,Happy,,,,,,,jpg
6773,affectnet,vis,data/AffectNet-8Labels/train_set/images/76353.jpg,76353.jpg,affectnet-76353.jpg,,,png,cauca,6.0,-0.8492059999999999,0.246032,Anger,,,,,,,jpg
6774,affectnet,vis,data/AffectNet-8Labels/train_set/images/9121.jpg,9121.jpg,affectnet-9121.jpg,,,jpg,cauca,0.0,-0.0114837,0.0,Neutral,,,,,,,jpg
6775,affectnet,vis,data/AffectNet-8Labels/train_set/images/137792.jpg,137792.jpg,affectnet-137792.jpg,,,jpg,cauca,3.0,0.300039,0.672667,Surprise,,,,,,,jpg
6776,affectnet,vis,data/AffectNet-8Labels/train_set/images/48149.jpg,48149.jpg,affectnet-48149.jpg,,,jpg,cauca,2.0,-0.571429,-0.230159,Sad,,,,,,,jpg
6777,affectnet,vis,data/AffectNet-8Labels/train_set/images/191095.jpg,191095.jpg,affectnet-191095.jpg,,,jpg,cauca,0.0,-0.17507,-0.357143,Neutral,,,,,,,jpg
6778,affectnet,vis,data/AffectNet-8Labels/train_set/images/370805.jpg,370805.jpg,affectnet-370805.jpg,,,jpg,cauca,1.0,0.856562,-0.140341,Happy,,,,,,,jpg
6779,affectnet,vis,data/AffectNet-8Labels/train_set/images/140844.jpg,140844.jpg,affectnet-140844.jpg,,,jpg,cauca,1.0,0.521492,0.158028,Happy,,,,,,,jpg
6780,affectnet,vis,data/AffectNet-8Labels/train_set/images/311598.jpg,311598.jpg,affectnet-311598.jpg,,,jpg,cauca,0.0,-0.0038279,0.0,Neutral,,,,,,,jpg
6781,affectnet,vis,data/AffectNet-8Labels/train_set/images/251926.jpg,251926.jpg,affectnet-251926.jpg,,,png,cauca,1.0,0.8115140000000001,0.107181,Happy,,,,,,,jpg
6783,affectnet,vis,data/AffectNet-8Labels/train_set/images/317418.jpg,317418.jpg,affectnet-317418.jpg,,,jpg,cauca,6.0,-0.817847,0.2274489999999999,Anger,,,,,,,jpg
6784,affectnet,vis,data/AffectNet-8Labels/train_set/images/147041.jpg,147041.jpg,affectnet-147041.jpg,,,jpeg,cauca,0.0,0.400337,-0.205436,Neutral,,,,,,,jpg
6785,affectnet,vis,data/AffectNet-8Labels/train_set/images/43030.jpg,43030.jpg,affectnet-43030.jpg,,,jpg,cauca,1.0,0.767771,0.10352,Happy,,,,,,,jpg
6786,affectnet,vis,data/AffectNet-8Labels/train_set/images/398386.jpg,398386.jpg,affectnet-398386.jpg,,,jpg,cauca,6.0,-0.512938,0.715817,Anger,,,,,,,jpg
6788,affectnet,vis,data/AffectNet-8Labels/train_set/images/41161.jpg,41161.jpg,affectnet-41161.jpg,,,jpg,cauca,1.0,0.474083,0.121155,Happy,,,,,,,jpg
6789,affectnet,vis,data/AffectNet-8Labels/train_set/images/404861.jpg,404861.jpg,affectnet-404861.jpg,,,jpg,cauca,2.0,-0.555556,0.00793651,Sad,,,,,,,jpg
6790,affectnet,vis,data/AffectNet-8Labels/train_set/images/244993.jpg,244993.jpg,affectnet-244993.jpg,,,jpg,cauca,4.0,-0.138427,0.8513290000000001,Fear,,,,,,,jpg
6791,affectnet,vis,data/AffectNet-8Labels/train_set/images/393652.jpg,393652.jpg,affectnet-393652.jpg,,,jpg,cauca,1.0,0.777807,0.170685,Happy,,,,,,,jpg
6792,affectnet,vis,data/AffectNet-8Labels/train_set/images/302967.jpg,302967.jpg,affectnet-302967.jpg,,,jpg,cauca,0.0,0.0,-0.00793651,Neutral,,,,,,,jpg
6793,affectnet,vis,data/AffectNet-8Labels/train_set/images/154020.jpg,154020.jpg,affectnet-154020.jpg,,,jpg,cauca,0.0,-0.331858,-0.110619,Neutral,,,,,,,jpg
6794,affectnet,vis,data/AffectNet-8Labels/train_set/images/65941.jpg,65941.jpg,affectnet-65941.jpg,,,jpg,cauca,1.0,0.571041,0.07259,Happy,,,,,,,jpg
6795,affectnet,vis,data/AffectNet-8Labels/train_set/images/230971.jpg,230971.jpg,affectnet-230971.jpg,,,jpeg,cauca,0.0,-0.368732,0.194901,Neutral,,,,,,,jpg
6796,affectnet,vis,data/AffectNet-8Labels/train_set/images/148535.jpg,148535.jpg,affectnet-148535.jpg,,,png,cauca,0.0,-0.108225,-0.221484,Neutral,,,,,,,jpg
6797,affectnet,vis,data/AffectNet-8Labels/train_set/images/121625.jpg,121625.jpg,affectnet-121625.jpg,,,jpg,cauca,0.0,0.214286,0.0,Neutral,,,,,,,jpg
6798,affectnet,vis,data/AffectNet-8Labels/train_set/images/223824.jpg,223824.jpg,affectnet-223824.jpg,,,jpg,cauca,1.0,0.467933,0.172034,Happy,,,,,,,jpg
6799,affectnet,vis,data/AffectNet-8Labels/train_set/images/177750.jpg,177750.jpg,affectnet-177750.jpg,,,jpg,cauca,1.0,0.537956,0.2590159999999999,Happy,,,,,,,jpg
6800,affectnet,vis,data/AffectNet-8Labels/train_set/images/286214.jpg,286214.jpg,affectnet-286214.jpg,,,jpg,cauca,1.0,0.6190479999999999,0.00793651,Happy,,,,,,,jpg
6801,affectnet,vis,data/AffectNet-8Labels/train_set/images/381694.jpg,381694.jpg,affectnet-381694.jpg,,,jpg,cauca,0.0,0.0793651,0.0714286,Neutral,,,,,,,jpg
6802,affectnet,vis,data/AffectNet-8Labels/train_set/images/330306.jpg,330306.jpg,affectnet-330306.jpg,,,jpeg,cauca,1.0,0.674603,-0.230159,Happy,,,,,,,jpg
