,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
6415,affectnet,vis,data/AffectNet-8Labels/train_set/images/288323.jpg,288323.jpg,affectnet-288323.jpg,,,jpg,cauca,1.0,0.8270120000000001,-0.110619,Happy,,,,,,,jpg,train
6416,affectnet,vis,data/AffectNet-8Labels/train_set/images/82394.jpg,82394.jpg,affectnet-82394.jpg,,,jpg,cauca,0.0,0.0238095,0.0,Neutral,,,,,,,jpg,train
6417,affectnet,vis,data/AffectNet-8Labels/train_set/images/356224.jpg,356224.jpg,affectnet-356224.jpg,,,jpg,cauca,1.0,0.500421,0.1527599999999999,Happy,,,,,,,jpg,train
6418,affectnet,vis,data/AffectNet-8Labels/train_set/images/107418.jpg,107418.jpg,affectnet-107418.jpg,,,jpg,cauca,2.0,-0.452381,-0.2380949999999999,Sad,,,,,,,jpg,train
6419,affectnet,vis,data/AffectNet-8Labels/train_set/images/360439.jpg,360439.jpg,affectnet-360439.jpg,,,jpg,cauca,1.0,0.692025,-0.135501,Happy,,,,,,,jpg,train
6420,affectnet,vis,data/AffectNet-8Labels/train_set/images/86276.jpg,86276.jpg,affectnet-86276.jpg,,,png,cauca,0.0,-0.174046,-0.431635,Neutral,,,,,,,jpg,train
6421,affectnet,vis,data/AffectNet-8Labels/train_set/images/213651.jpg,213651.jpg,affectnet-213651.jpg,,,jpg,cauca,2.0,-0.863885,-0.300253,Sad,,,,,,,jpg,train
6422,affectnet,vis,data/AffectNet-8Labels/train_set/images/299172.jpg,299172.jpg,affectnet-299172.jpg,,,jpg,cauca,4.0,-0.10352,0.5521050000000001,Fear,,,,,,,jpg,train
6423,affectnet,vis,data/AffectNet-8Labels/train_set/images/175683.jpg,175683.jpg,affectnet-175683.jpg,,,jpg,cauca,2.0,-0.7479979999999999,-0.2686469999999999,Sad,,,,,,,jpg,train
6424,affectnet,vis,data/AffectNet-8Labels/train_set/images/409435.jpg,409435.jpg,affectnet-409435.jpg,,,jpg,cauca,0.0,-0.142225,-0.453013,Neutral,,,,,,,jpg,train
6425,affectnet,vis,data/AffectNet-8Labels/train_set/images/274024.jpg,274024.jpg,affectnet-274024.jpg,,,jpg,cauca,0.0,0.014518,-0.014518,Neutral,,,,,,,jpg,train
6426,affectnet,vis,data/AffectNet-8Labels/train_set/images/126899.jpg,126899.jpg,affectnet-126899.jpg,,,jpg,cauca,0.0,0.0,-0.00431332,Neutral,,,,,,,jpg,train
6427,affectnet,vis,data/AffectNet-8Labels/train_set/images/219832.jpg,219832.jpg,affectnet-219832.jpg,,,jpg,cauca,2.0,-0.901574,-0.204224,Sad,,,,,,,jpg,train
6428,affectnet,vis,data/AffectNet-8Labels/train_set/images/180286.jpg,180286.jpg,affectnet-180286.jpg,,,jpg,cauca,2.0,-0.7647430000000001,-0.370546,Sad,,,,,,,jpg,train
6429,affectnet,vis,data/AffectNet-8Labels/train_set/images/90334.jpg,90334.jpg,affectnet-90334.jpg,,,jpg,cauca,1.0,0.939153,0.304233,Happy,,,,,,,jpg,train
6430,affectnet,vis,data/AffectNet-8Labels/train_set/images/169715.jpg,169715.jpg,affectnet-169715.jpg,,,png,cauca,1.0,0.8491049999999999,0.0929047,Happy,,,,,,,jpg,train
6431,affectnet,vis,data/AffectNet-8Labels/train_set/images/81551.jpg,81551.jpg,affectnet-81551.jpg,,,jpg,cauca,6.0,-0.523809,0.134921,Anger,,,,,,,jpg,train
6432,affectnet,vis,data/AffectNet-8Labels/train_set/images/373675.jpg,373675.jpg,affectnet-373675.jpg,,,jpg,cauca,1.0,0.450058,0.0774293,Happy,,,,,,,jpg,train
6433,affectnet,vis,data/AffectNet-8Labels/train_set/images/266450.jpg,266450.jpg,affectnet-266450.jpg,,,jpg,cauca,6.0,-0.401665,0.745257,Anger,,,,,,,jpg,train
6434,affectnet,vis,data/AffectNet-8Labels/train_set/images/377189.jpg,377189.jpg,affectnet-377189.jpg,,,jpg,cauca,1.0,0.555556,0.0158729999999999,Happy,,,,,,,jpg,test
6435,affectnet,vis,data/AffectNet-8Labels/train_set/images/8755.jpg,8755.jpg,affectnet-8755.jpg,,,jpg,cauca,0.0,0.0905797,0.00862664,Neutral,,,,,,,jpg,train
6436,affectnet,vis,data/AffectNet-8Labels/train_set/images/313313.jpg,313313.jpg,affectnet-313313.jpg,,,jpg,cauca,1.0,0.2380949999999999,0.00793651,Happy,,,,,,,jpg,test
6437,affectnet,vis,data/AffectNet-8Labels/train_set/images/382935.jpg,382935.jpg,affectnet-382935.jpg,,,jpg,cauca,1.0,0.8174600000000001,0.468254,Happy,,,,,,,jpg,test
6438,affectnet,vis,data/AffectNet-8Labels/train_set/images/106753.jpg,106753.jpg,affectnet-106753.jpg,,,jpg,cauca,1.0,0.555556,0.150794,Happy,,,,,,,jpg,train
6439,affectnet,vis,data/AffectNet-8Labels/train_set/images/245341.jpg,245341.jpg,affectnet-245341.jpg,,,jpg,cauca,0.0,-0.394477,-0.147929,Neutral,,,,,,,jpg,train
6440,affectnet,vis,data/AffectNet-8Labels/train_set/images/30671.jpg,30671.jpg,affectnet-30671.jpg,,,jpg,cauca,6.0,-0.5,0.134921,Anger,,,,,,,jpg,test
6441,affectnet,vis,data/AffectNet-8Labels/train_set/images/23467.jpg,23467.jpg,affectnet-23467.jpg,,,jpg,cauca,1.0,0.595238,0.119048,Happy,,,,,,,jpg,train
6442,affectnet,vis,data/AffectNet-8Labels/train_set/images/383675.jpg,383675.jpg,affectnet-383675.jpg,,,jpg,cauca,6.0,-0.396825,0.396825,Anger,,,,,,,jpg,train
6443,affectnet,vis,data/AffectNet-8Labels/train_set/images/12105.jpg,12105.jpg,affectnet-12105.jpg,,,jpg,cauca,1.0,0.517809,0.07259,Happy,,,,,,,jpg,train
6444,affectnet,vis,data/AffectNet-8Labels/train_set/images/405531.jpg,405531.jpg,affectnet-405531.jpg,,,jpg,cauca,0.0,0.125823,0.0338753,Neutral,,,,,,,jpg,test
6445,affectnet,vis,data/AffectNet-8Labels/train_set/images/37722.jpg,37722.jpg,affectnet-37722.jpg,,,jpg,cauca,6.0,-0.493126,0.816896,Anger,,,,,,,jpg,train
6446,affectnet,vis,data/AffectNet-8Labels/train_set/images/190506.jpg,190506.jpg,affectnet-190506.jpg,,,jpg,cauca,0.0,0.0158729999999999,-0.0158729999999999,Neutral,,,,,,,jpg,train
6447,affectnet,vis,data/AffectNet-8Labels/train_set/images/11938.jpg,11938.jpg,affectnet-11938.jpg,,,jpg,cauca,6.0,-0.190476,0.428571,Anger,,,,,,,jpg,train
6448,affectnet,vis,data/AffectNet-8Labels/train_set/images/387687.jpg,387687.jpg,affectnet-387687.jpg,,,jpg,cauca,7.0,-0.6000770000000001,0.614595,Contempt,,,,,,,jpg,train
6449,affectnet,vis,data/AffectNet-8Labels/train_set/images/312900.jpg,312900.jpg,affectnet-312900.jpg,,,jpg,cauca,0.0,0.0388199,0.0345066,Neutral,,,,,,,jpg,train
6450,affectnet,vis,data/AffectNet-8Labels/train_set/images/93904.jpg,93904.jpg,affectnet-93904.jpg,,,jpg,cauca,1.0,0.8468829999999999,0.203252,Happy,,,,,,,jpg,train
6451,affectnet,vis,data/AffectNet-8Labels/train_set/images/322365.jpg,322365.jpg,affectnet-322365.jpg,,,png,cauca,1.0,0.7539680000000001,-0.5,Happy,,,,,,,jpg,train
6452,affectnet,vis,data/AffectNet-8Labels/train_set/images/214907.jpg,214907.jpg,affectnet-214907.jpg,,,jpg,cauca,1.0,0.537295,0.13169,Happy,,,,,,,jpg,train
6453,affectnet,vis,data/AffectNet-8Labels/train_set/images/110382.jpg,110382.jpg,affectnet-110382.jpg,,,jpg,cauca,0.0,-0.368732,0.252844,Neutral,,,,,,,jpg,train
6454,affectnet,vis,data/AffectNet-8Labels/train_set/images/313015.jpg,313015.jpg,affectnet-313015.jpg,,,jpg,cauca,1.0,0.5530970000000001,0.105352,Happy,,,,,,,jpg,train
6455,affectnet,vis,data/AffectNet-8Labels/train_set/images/219842.jpg,219842.jpg,affectnet-219842.jpg,,,jpg,cauca,1.0,0.510204,0.18424,Happy,,,,,,,jpg,train
6456,affectnet,vis,data/AffectNet-8Labels/train_set/images/114675.jpg,114675.jpg,affectnet-114675.jpg,,,jpg,cauca,1.0,0.6000770000000001,0.522648,Happy,,,,,,,jpg,train
6457,affectnet,vis,data/AffectNet-8Labels/train_set/images/197681.jpg,197681.jpg,affectnet-197681.jpg,,,jpg,cauca,1.0,0.4846189999999999,0.0790138999999999,Happy,,,,,,,jpg,train
6458,affectnet,vis,data/AffectNet-8Labels/train_set/images/120416.jpg,120416.jpg,affectnet-120416.jpg,,,jpg,cauca,3.0,0.2380949999999999,0.428571,Surprise,,,,,,,jpg,train
6459,affectnet,vis,data/AffectNet-8Labels/train_set/images/27685.jpg,27685.jpg,affectnet-27685.jpg,,,jpg,cauca,1.0,0.505689,0.1158869999999999,Happy,,,,,,,jpg,train
6460,affectnet,vis,data/AffectNet-8Labels/train_set/images/219777.jpg,219777.jpg,affectnet-219777.jpg,,,jpg,cauca,1.0,0.612672,0.333732,Happy,,,,,,,jpg,test
6461,affectnet,vis,data/AffectNet-8Labels/train_set/images/272608.jpg,272608.jpg,affectnet-272608.jpg,,,jpg,cauca,3.0,0.183895,0.512969,Surprise,,,,,,,jpg,train
6462,affectnet,vis,data/AffectNet-8Labels/train_set/images/232785.jpg,232785.jpg,affectnet-232785.jpg,,,jpg,cauca,0.0,0.0532327,0.07259,Neutral,,,,,,,jpg,test
6463,affectnet,vis,data/AffectNet-8Labels/train_set/images/367587.jpg,367587.jpg,affectnet-367587.jpg,,,jpg,cauca,4.0,-0.0803858,0.727301,Fear,,,,,,,jpg,train
6464,affectnet,vis,data/AffectNet-8Labels/train_set/images/370386.jpg,370386.jpg,affectnet-370386.jpg,,,jpg,cauca,1.0,0.8809520000000001,0.1269839999999999,Happy,,,,,,,jpg,train
6465,affectnet,vis,data/AffectNet-8Labels/train_set/images/332449.jpg,332449.jpg,affectnet-332449.jpg,,,jpg,cauca,0.0,0.00967867,-0.0241967,Neutral,,,,,,,jpg,train
6466,affectnet,vis,data/AffectNet-8Labels/train_set/images/298559.jpg,298559.jpg,affectnet-298559.jpg,,,jpg,cauca,1.0,0.523809,0.0158729999999999,Happy,,,,,,,jpg,train
6467,affectnet,vis,data/AffectNet-8Labels/train_set/images/123185.jpg,123185.jpg,affectnet-123185.jpg,,,jpg,cauca,0.0,0.0238095,0.0,Neutral,,,,,,,jpg,train
6468,affectnet,vis,data/AffectNet-8Labels/train_set/images/299065.jpg,299065.jpg,affectnet-299065.jpg,,,jpg,cauca,0.0,-0.00793651,0.00793651,Neutral,,,,,,,jpg,train
6469,affectnet,vis,data/AffectNet-8Labels/train_set/images/3411.jpg,3411.jpg,affectnet-3411.jpg,,,jpg,cauca,0.0,-0.324235,-0.183895,Neutral,,,,,,,jpg,train
6470,affectnet,vis,data/AffectNet-8Labels/train_set/images/206084.jpg,206084.jpg,affectnet-206084.jpg,,,jpg,cauca,1.0,0.960317,0.2063489999999999,Happy,,,,,,,jpg,test
6471,affectnet,vis,data/AffectNet-8Labels/train_set/images/126301.jpg,126301.jpg,affectnet-126301.jpg,,,jpg,cauca,6.0,-0.388889,0.3174599999999999,Anger,,,,,,,jpg,train
6472,affectnet,vis,data/AffectNet-8Labels/train_set/images/151332.jpg,151332.jpg,affectnet-151332.jpg,,,jpg,cauca,1.0,0.396825,0.0952381,Happy,,,,,,,jpg,train
6473,affectnet,vis,data/AffectNet-8Labels/train_set/images/299911.jpg,299911.jpg,affectnet-299911.jpg,,,jpeg,cauca,1.0,0.6984130000000001,0.0714286,Happy,,,,,,,jpg,train
6474,affectnet,vis,data/AffectNet-8Labels/train_set/images/149693.jpg,149693.jpg,affectnet-149693.jpg,,,jpg,cauca,6.0,-0.5079359999999999,0.595238,Anger,,,,,,,jpg,train
6475,affectnet,vis,data/AffectNet-8Labels/train_set/images/209893.jpg,209893.jpg,affectnet-209893.jpg,,,jpg,cauca,1.0,0.666667,-0.531746,Happy,,,,,,,jpg,train
6476,affectnet,vis,data/AffectNet-8Labels/train_set/images/114945.jpg,114945.jpg,affectnet-114945.jpg,,,jpg,cauca,0.0,-0.00483933,-0.00483933,Neutral,,,,,,,jpg,train
6477,affectnet,vis,data/AffectNet-8Labels/train_set/images/282515.jpg,282515.jpg,affectnet-282515.jpg,,,jpg,cauca,1.0,0.779967,0.105868,Happy,,,,,,,jpg,train
6478,affectnet,vis,data/AffectNet-8Labels/train_set/images/14290.jpg,14290.jpg,affectnet-14290.jpg,,,jpg,cauca,1.0,0.495154,0.126422,Happy,,,,,,,jpg,train
6479,affectnet,vis,data/AffectNet-8Labels/train_set/images/189707.jpg,189707.jpg,affectnet-189707.jpg,,,jpg,cauca,0.0,-0.0873016,-0.047619,Neutral,,,,,,,jpg,train
6480,affectnet,vis,data/AffectNet-8Labels/train_set/images/184728.jpg,184728.jpg,affectnet-184728.jpg,,,jpg,cauca,1.0,0.614595,0.0677507,Happy,,,,,,,jpg,train
6481,affectnet,vis,data/AffectNet-8Labels/train_set/images/24056.jpg,24056.jpg,affectnet-24056.jpg,,,jpg,cauca,0.0,0.0172533,-0.0258799,Neutral,,,,,,,jpg,test
6482,affectnet,vis,data/AffectNet-8Labels/train_set/images/100736.jpg,100736.jpg,affectnet-100736.jpg,,,jpg,cauca,2.0,-0.8253969999999999,-0.349206,Sad,,,,,,,jpg,train
6483,affectnet,vis,data/AffectNet-8Labels/train_set/images/90716.jpg,90716.jpg,affectnet-90716.jpg,,,png,cauca,2.0,-0.436508,-0.18254,Sad,,,,,,,jpg,test
6484,affectnet,vis,data/AffectNet-8Labels/train_set/images/286616.jpg,286616.jpg,affectnet-286616.jpg,,,jpg,cauca,1.0,0.539683,0.00793651,Happy,,,,,,,jpg,test
6485,affectnet,vis,data/AffectNet-8Labels/train_set/images/147017.jpg,147017.jpg,affectnet-147017.jpg,,,jpg,cauca,1.0,0.5,-0.00793651,Happy,,,,,,,jpg,test
6486,affectnet,vis,data/AffectNet-8Labels/train_set/images/207646.jpg,207646.jpg,affectnet-207646.jpg,,,jpg,cauca,0.0,-0.149701,-0.427716,Neutral,,,,,,,jpg,train
6487,affectnet,vis,data/AffectNet-8Labels/train_set/images/90573.jpg,90573.jpg,affectnet-90573.jpg,,,jpg,cauca,1.0,0.690476,-0.571429,Happy,,,,,,,jpg,train
6488,affectnet,vis,data/AffectNet-8Labels/train_set/images/228637.jpg,228637.jpg,affectnet-228637.jpg,,,jpg,cauca,1.0,0.79199,0.408448,Happy,,,,,,,jpg,train
6489,affectnet,vis,data/AffectNet-8Labels/train_set/images/105008.jpg,105008.jpg,affectnet-105008.jpg,,,jpg,cauca,1.0,0.890437,-0.029036,Happy,,,,,,,jpg,train
6490,affectnet,vis,data/AffectNet-8Labels/train_set/images/345631.jpg,345631.jpg,affectnet-345631.jpg,,,jpg,cauca,1.0,0.661935,0.5260239999999999,Happy,,,,,,,jpg,train
6491,affectnet,vis,data/AffectNet-8Labels/train_set/images/145873.jpg,145873.jpg,affectnet-145873.jpg,,,jpg,cauca,1.0,0.952381,0.1269839999999999,Happy,,,,,,,jpg,train
6492,affectnet,vis,data/AffectNet-8Labels/train_set/images/143224.jpg,143224.jpg,affectnet-143224.jpg,,,jpg,cauca,1.0,0.479351,0.1738309999999999,Happy,,,,,,,jpg,train
6493,affectnet,vis,data/AffectNet-8Labels/train_set/images/276886.jpg,276886.jpg,affectnet-276886.jpg,,,jpg,cauca,1.0,0.537866,-0.0573723,Happy,,,,,,,jpg,train
6494,affectnet,vis,data/AffectNet-8Labels/train_set/images/355224.jpg,355224.jpg,affectnet-355224.jpg,,,jpg,cauca,1.0,0.740418,0.0338753,Happy,,,,,,,jpg,train
6495,affectnet,vis,data/AffectNet-8Labels/train_set/images/16808.jpg,16808.jpg,affectnet-16808.jpg,,,jpg,cauca,6.0,-0.150794,0.357143,Anger,,,,,,,jpg,train
6496,affectnet,vis,data/AffectNet-8Labels/train_set/images/108156.jpg,108156.jpg,affectnet-108156.jpg,,,jpg,cauca,1.0,0.500421,0.100084,Happy,,,,,,,jpg,test
6497,affectnet,vis,data/AffectNet-8Labels/train_set/images/216109.jpg,216109.jpg,affectnet-216109.jpg,,,jpg,cauca,1.0,0.87108,-0.116144,Happy,,,,,,,jpg,train
6498,affectnet,vis,data/AffectNet-8Labels/train_set/images/336072.jpg,336072.jpg,affectnet-336072.jpg,,,jpg,cauca,3.0,0.311462,0.733666,Surprise,,,,,,,jpg,test
6499,affectnet,vis,data/AffectNet-8Labels/train_set/images/309586.jpg,309586.jpg,affectnet-309586.jpg,,,jpg,cauca,1.0,0.489886,0.126422,Happy,,,,,,,jpg,train
6500,affectnet,vis,data/AffectNet-8Labels/train_set/images/340428.jpg,340428.jpg,affectnet-340428.jpg,,,jpg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
6501,affectnet,vis,data/AffectNet-8Labels/train_set/images/110679.jpg,110679.jpg,affectnet-110679.jpg,,,jpg,cauca,6.0,-0.701671,0.473037,Anger,,,,,,,jpg,train
6502,affectnet,vis,data/AffectNet-8Labels/train_set/images/288165.jpg,288165.jpg,affectnet-288165.jpg,,,jpg,cauca,1.0,0.662226,0.0153116,Happy,,,,,,,jpg,train
6503,affectnet,vis,data/AffectNet-8Labels/train_set/images/329179.jpg,329179.jpg,affectnet-329179.jpg,,,jpg,cauca,0.0,0.0532327,-0.0387147,Neutral,,,,,,,jpg,train
6504,affectnet,vis,data/AffectNet-8Labels/train_set/images/81534.jpg,81534.jpg,affectnet-81534.jpg,,,jpg,cauca,1.0,0.904956,0.154859,Happy,,,,,,,jpg,test
6505,affectnet,vis,data/AffectNet-8Labels/train_set/images/318994.jpg,318994.jpg,affectnet-318994.jpg,,,jpg,cauca,0.0,0.00967867,-0.00967867,Neutral,,,,,,,jpg,train
6506,affectnet,vis,data/AffectNet-8Labels/train_set/images/14697.jpg,14697.jpg,affectnet-14697.jpg,,,jpg,cauca,1.0,0.8081689999999999,0.0677507,Happy,,,,,,,jpg,train
6507,affectnet,vis,data/AffectNet-8Labels/train_set/images/301439.jpg,301439.jpg,affectnet-301439.jpg,,,jpg,cauca,0.0,0.0,0.0038279,Neutral,,,,,,,jpg,train
6508,affectnet,vis,data/AffectNet-8Labels/train_set/images/411640.jpg,411640.jpg,affectnet-411640.jpg,,,jpg,cauca,0.0,-0.0793651,-0.0317459999999999,Neutral,,,,,,,jpg,train
6509,affectnet,vis,data/AffectNet-8Labels/train_set/images/55024.jpg,55024.jpg,affectnet-55024.jpg,,,jpeg,cauca,0.0,-0.468816,0.142225,Neutral,,,,,,,jpg,train
6510,affectnet,vis,data/AffectNet-8Labels/train_set/images/226761.jpg,226761.jpg,affectnet-226761.jpg,,,jpg,cauca,2.0,-0.8620690000000001,-0.4926109999999999,Sad,,,,,,,jpg,train
6511,affectnet,vis,data/AffectNet-8Labels/train_set/images/394497.jpg,394497.jpg,affectnet-394497.jpg,,,jpg,cauca,0.0,0.0158729999999999,0.00793651,Neutral,,,,,,,jpg,train
6512,affectnet,vis,data/AffectNet-8Labels/train_set/images/385505.jpg,385505.jpg,affectnet-385505.jpg,,,jpg,cauca,1.0,0.547619,0.0,Happy,,,,,,,jpg,train
6513,affectnet,vis,data/AffectNet-8Labels/train_set/images/222960.jpg,222960.jpg,affectnet-222960.jpg,,,png,cauca,0.0,0.0,0.00661376,Neutral,,,,,,,jpg,train
6514,affectnet,vis,data/AffectNet-8Labels/train_set/images/383339.jpg,383339.jpg,affectnet-383339.jpg,,,jpg,cauca,1.0,0.556523,-0.333914,Happy,,,,,,,jpg,train
6515,affectnet,vis,data/AffectNet-8Labels/train_set/images/70849.jpg,70849.jpg,affectnet-70849.jpg,,,jpg,cauca,0.0,-0.147493,-0.405605,Neutral,,,,,,,jpg,train
6516,affectnet,vis,data/AffectNet-8Labels/train_set/images/210102.jpg,210102.jpg,affectnet-210102.jpg,,,jpg,cauca,0.0,-0.354778,0.2365179999999999,Neutral,,,,,,,jpg,train
6517,affectnet,vis,data/AffectNet-8Labels/train_set/images/159676.jpg,159676.jpg,affectnet-159676.jpg,,,jpg,cauca,6.0,-0.357143,0.6984130000000001,Anger,,,,,,,jpg,train
6518,affectnet,vis,data/AffectNet-8Labels/train_set/images/81854.jpg,81854.jpg,affectnet-81854.jpg,,,jpg,cauca,0.0,-0.426675,0.13169,Neutral,,,,,,,jpg,train
6519,affectnet,vis,data/AffectNet-8Labels/train_set/images/315204.jpg,315204.jpg,affectnet-315204.jpg,,,jpg,cauca,2.0,-0.672667,-0.300039,Sad,,,,,,,jpg,train
6520,affectnet,vis,data/AffectNet-8Labels/train_set/images/204369.jpg,204369.jpg,affectnet-204369.jpg,,,jpg,cauca,0.0,0.00431332,0.00431332,Neutral,,,,,,,jpg,train
6521,affectnet,vis,data/AffectNet-8Labels/train_set/images/58963.jpg,58963.jpg,affectnet-58963.jpg,,,jpg,cauca,0.0,0.0555556,-0.047619,Neutral,,,,,,,jpg,train
6522,affectnet,vis,data/AffectNet-8Labels/train_set/images/378528.jpg,378528.jpg,affectnet-378528.jpg,,,jpg,cauca,2.0,-0.655515,-0.0715793,Sad,,,,,,,jpg,train
6523,affectnet,vis,data/AffectNet-8Labels/train_set/images/187782.jpg,187782.jpg,affectnet-187782.jpg,,,jpg,cauca,1.0,0.5079359999999999,0.0158729999999999,Happy,,,,,,,jpg,train
6524,affectnet,vis,data/AffectNet-8Labels/train_set/images/269037.jpg,269037.jpg,affectnet-269037.jpg,,,jpg,cauca,1.0,0.853621,0.210534,Happy,,,,,,,jpg,train
6525,affectnet,vis,data/AffectNet-8Labels/train_set/images/327645.jpg,327645.jpg,affectnet-327645.jpg,,,jpg,cauca,1.0,0.745257,0.0677507,Happy,,,,,,,jpg,train
6526,affectnet,vis,data/AffectNet-8Labels/train_set/images/19739.jpg,19739.jpg,affectnet-19739.jpg,,,jpg,cauca,3.0,0.4277939999999999,0.859908,Surprise,,,,,,,jpg,train
6527,affectnet,vis,data/AffectNet-8Labels/train_set/images/101564.jpg,101564.jpg,affectnet-101564.jpg,,,jpg,cauca,0.0,-0.00793651,0.0158729999999999,Neutral,,,,,,,jpg,train
6528,affectnet,vis,data/AffectNet-8Labels/train_set/images/246150.jpg,246150.jpg,affectnet-246150.jpg,,,jpg,cauca,0.0,0.00793651,-0.0158729999999999,Neutral,,,,,,,jpg,train
6529,affectnet,vis,data/AffectNet-8Labels/train_set/images/23812.jpg,23812.jpg,affectnet-23812.jpg,,,jpg,cauca,1.0,0.485589,0.0234962,Happy,,,,,,,jpg,test
6530,affectnet,vis,data/AffectNet-8Labels/train_set/images/35666.jpg,35666.jpg,affectnet-35666.jpg,,,jpg,cauca,1.0,0.732218,0.343694,Happy,,,,,,,jpg,train
6531,affectnet,vis,data/AffectNet-8Labels/train_set/images/92420.jpg,92420.jpg,affectnet-92420.jpg,,,jpg,cauca,1.0,0.658149,-0.014518,Happy,,,,,,,jpg,train
6532,affectnet,vis,data/AffectNet-8Labels/train_set/images/264184.jpg,264184.jpg,affectnet-264184.jpg,,,jpg,cauca,1.0,0.730159,0.0952381,Happy,,,,,,,jpg,train
6533,affectnet,vis,data/AffectNet-8Labels/train_set/images/218784.jpg,218784.jpg,affectnet-218784.jpg,,,jpg,cauca,6.0,-0.563492,0.269841,Anger,,,,,,,jpg,train
6534,affectnet,vis,data/AffectNet-8Labels/train_set/images/363364.jpg,363364.jpg,affectnet-363364.jpg,,,png,cauca,0.0,0.0193572999999999,0.0822687,Neutral,,,,,,,jpg,train
6535,affectnet,vis,data/AffectNet-8Labels/train_set/images/165115.jpg,165115.jpg,affectnet-165115.jpg,,,jpg,cauca,0.0,0.0852989,-0.152055,Neutral,,,,,,,jpg,train
6536,affectnet,vis,data/AffectNet-8Labels/train_set/images/100255.jpg,100255.jpg,affectnet-100255.jpg,,,jpg,cauca,1.0,0.495458,0.185797,Happy,,,,,,,jpg,train
6537,affectnet,vis,data/AffectNet-8Labels/train_set/images/271775.jpg,271775.jpg,affectnet-271775.jpg,,,jpg,cauca,1.0,0.590399,0.0483933,Happy,,,,,,,jpg,train
6538,affectnet,vis,data/AffectNet-8Labels/train_set/images/226318.jpg,226318.jpg,affectnet-226318.jpg,,,jpg,cauca,6.0,-0.750097,0.430701,Anger,,,,,,,jpg,train
6539,affectnet,vis,data/AffectNet-8Labels/train_set/images/164294.jpg,164294.jpg,affectnet-164294.jpg,,,jpg,cauca,0.0,0.0158729999999999,-0.0238095,Neutral,,,,,,,jpg,train
6540,affectnet,vis,data/AffectNet-8Labels/train_set/images/380039.jpg,380039.jpg,affectnet-380039.jpg,,,jpg,cauca,0.0,0.00793651,0.0158729999999999,Neutral,,,,,,,jpg,train
6541,affectnet,vis,data/AffectNet-8Labels/train_set/images/275285.jpg,275285.jpg,affectnet-275285.jpg,,,jpeg,cauca,1.0,0.464576,0.0774293,Happy,,,,,,,jpg,train
6542,affectnet,vis,data/AffectNet-8Labels/train_set/images/51343.jpg,51343.jpg,affectnet-51343.jpg,,,jpg,cauca,0.0,0.0158729999999999,0.00793651,Neutral,,,,,,,jpg,train
6543,affectnet,vis,data/AffectNet-8Labels/train_set/images/201858.jpg,201858.jpg,affectnet-201858.jpg,,,png,cauca,0.0,-0.1587299999999999,-0.198413,Neutral,,,,,,,jpg,train
6544,affectnet,vis,data/AffectNet-8Labels/train_set/images/346012.jpg,346012.jpg,affectnet-346012.jpg,,,jpg,cauca,6.0,-0.769069,0.442478,Anger,,,,,,,jpg,train
6545,affectnet,vis,data/AffectNet-8Labels/train_set/images/111334.jpg,111334.jpg,affectnet-111334.jpg,,,jpg,cauca,1.0,0.473406,0.160123,Happy,,,,,,,jpg,train
6546,affectnet,vis,data/AffectNet-8Labels/train_set/images/317867.jpg,317867.jpg,affectnet-317867.jpg,,,jpg,cauca,1.0,0.785714,-0.0873016,Happy,,,,,,,jpg,train
6547,affectnet,vis,data/AffectNet-8Labels/train_set/images/76351.jpg,76351.jpg,affectnet-76351.jpg,,,jpg,cauca,0.0,0.00783208,-0.00783208,Neutral,,,,,,,jpg,train
6548,affectnet,vis,data/AffectNet-8Labels/train_set/images/176391.jpg,176391.jpg,affectnet-176391.jpg,,,png,cauca,1.0,0.8691209999999999,0.408998,Happy,,,,,,,jpg,train
6549,affectnet,vis,data/AffectNet-8Labels/train_set/images/207874.jpg,207874.jpg,affectnet-207874.jpg,,,jpg,cauca,1.0,0.498451,-0.0532327,Happy,,,,,,,jpg,test
6550,affectnet,vis,data/AffectNet-8Labels/train_set/images/267567.jpg,267567.jpg,affectnet-267567.jpg,,,jpg,cauca,0.0,0.00862664,-0.00431332,Neutral,,,,,,,jpg,train
6551,affectnet,vis,data/AffectNet-8Labels/train_set/images/159558.jpg,159558.jpg,affectnet-159558.jpg,,,jpg,cauca,0.0,0.209042,0.0212585,Neutral,,,,,,,jpg,train
6552,affectnet,vis,data/AffectNet-8Labels/train_set/images/158804.jpg,158804.jpg,affectnet-158804.jpg,,,jpg,cauca,6.0,-0.198413,0.3730159999999999,Anger,,,,,,,jpg,train
6553,affectnet,vis,data/AffectNet-8Labels/train_set/images/177526.jpg,177526.jpg,affectnet-177526.jpg,,,jpg,cauca,0.0,0.0,-0.01294,Neutral,,,,,,,jpg,train
6554,affectnet,vis,data/AffectNet-8Labels/train_set/images/85184.jpg,85184.jpg,affectnet-85184.jpg,,,jpg,cauca,1.0,0.578013,0.0612464,Happy,,,,,,,jpg,train
